Index,Year of Service,Q2 20 SC ,Q2_Incentive,Grade,TOTAL REV_Jul20,Q2 20WM Revenue % Ach,Q2 20CASA Growth % Ach,TOTAL NQC/NTB %Ach_Jul20,TOTAL Mob_Banking %Ach_Jul20,Jul20_WM,Jul20_CS ACH
56,8,0.73,12000000.0,11,367471442.1,0.393837237,7.434492379,0.0,0.727560301,194434509.9,1.2
57,2,0.5225,12000000.0,11,549697707.7,0.397184452,-1.379118972,1.0,0.70051161,160138165.3,0.66
58,11,1.135,14830544.17,11,422782386.9,0.705425367,-3.68347956,0.0,0.525834476,88527802.9,0.91
59,10,1.435,12814988.83,10,354956122.3,0.273554592,3.472582721,1.5,0.621499548,44012196.71,2.2
60,4,0.555,0.0,11,507161202.8,1.129051873,-6.30678924,0.5,0.530679934,206999657.1,0.33
61,7,1.2675,14001525.24,11,310068532.5,1.796190709,0.09897382,0.6,0.704191033,83354217.69,2.12
62,10,1.295,10788133.37,11,194844584.7,1.108343537,13.99336581,0.0,0.549070471,80456880.7,1.1
63,21,1.3725,14236561.78,11,291482524.6,1.222598209,6.439374285,0.4,0.729300729,88554467.4,0.99
64,8,0.9975,12000000.0,11,326694357.6,1.101413071,-3.995662943,0.0,0.724307926,138059120.5,0.66
65,6,0.455,12000000.0,10,421662495.6,1.545709747,0.706141866,1.5,0.646858558,104989538.8,1.5
66,8,1.0875,12000000.0,11,255791040.3,0.417730377,6.6960174,0.5,0.598659004,76275763.65,1.96
67,6,0.84,10802915.97,11,394618939.3,0.398295109,-4.094687064,0.0,0.618304255,131498887.7,1.19
68,3,0.695,12000000.0,11,380543568.6,0.566979079,-0.422369458,0.5,0.563991323,86233279.47,1.48
69,7,0.665,6000000.0,11,373246308.3,0.619166007,1.197132182,0.0,0.615136876,163977677.8,1.47
70,4,1.1225,14175600.9,11,372325598.3,0.820182144,-1.898931904,2.0,0.884353741,93158661.99,1.43
71,15,0.59,12000000.0,11,346107411.9,0.575832285,-0.093940989,1.0,0.634343434,130187412.4,0.27
72,5,0.68,6000000.0,10,242842649.2,1.162991478,1.412242065,2.5,0.806974858,84983959.42,0.75
73,8,1.04,11729843.7,10,326375303.4,0.668738039,-19.7545904,0.0,0.715339233,94516701.14,0.79
74,10,0.76,6000000.0,11,325578376.0,0.674917768,-0.095582147,1.0,0.519501803,85678285.85,3.62
75,8,1.15,25896190.83,12,318920391.6,1.41105653,1.051188056,0.5,0.850066934,94131966.42,0.47
76,3,1.425,25904489.71,11,312980055.3,0.877909353,12.95054951,0.5,0.549405494,52171996.92,0.11
77,10,0.74,6000000.0,11,298511868.3,0.981778777,3.666699866,0.0,0.666666667,151322631.9,0.76
78,7,0.7375,6000000.0,10,298385391.3,0.948831223,-1.961665008,3.0,0.620089787,79709070.96,1.47
79,3,1.245,13173383.13,10,292693639.5,1.168982979,9.093845328,0.5,0.741766697,64101792.33,0.82
80,9,0.57,6000000.0,11,289063109.4,0.273415231,-0.477573257,0.0,0.638888889,133908103.5,0.26
81,7,1.09,12000000.0,12,268826136.4,0.635092556,8.905884156,0.0,0.572612086,42616731.93,0.65
82,6,0.7675,0.0,11,251927242.3,0.813695225,0.654034374,0.5,0.701754386,149686715.3,0.89
83,7,0.95,5729203.545,10,236733609.8,1.393952202,0.546548973,0.5,0.613718412,115591144.2,1.46
84,4,0.6525,0.0,11,236663706.9,0.699268838,-2.620590128,1.0,0.633986928,96354314.68,1.24
85,9,0.5875,1980000.0,10,227392578.0,0.589049974,-1.37702528,0.4,0.667880996,60068002.31,1.37
86,0,1.3825,8763616.857,11,226517493.3,0.240210997,3.210302426,0.0,0.836083608,27619415.42,0.52
